Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
JALPA,"3,400.00",-1.36,"3,460.00","3,376.10","3,445.00","3,130",,
JBBL,308.00,-4.64,318.00,306.80,317.00,"121,384",,
JBLB,"2,885.00",-0.86,"2,932.00","2,884.00","2,931.00","6,869",,
JFL,420.30,-1.34,437.00,419.20,427.00,"18,265",,
JOSHI,246.00,-4.28,263.00,246.00,257.00,"41,068",,
JSLBB,"1,632.00",-0.78,"1,677.00","1,600.00","1,677.00","1,060",,
KBL,208.50,9.99,208.50,193.30,193.30,"1,325,093",,
KBLD86,892.00,-3.9,909.70,892.00,909.70,110,,
KDBY,8.77,-2.77,9.02,8.56,8.84,"6,800",,
KEF,8.95,1.02,9.03,8.80,8.80,"27,760",,
KKHC,257.00,-4.46,270.00,253.00,270.00,"19,485",,
KLBS,"1,393.10",-0.49,"1,420.00","1,374.10","1,374.10",610,,
KLBSL,882.00,1.85,883.00,855.40,883.00,532,,
KMCDB,"1,032.00",1.18,"1,061.00","1,030.00","1,040.40","2,970",,
KPCL,387.00,0,396.00,382.20,383.00,"11,624",,
KRBL,303.00,-1.62,315.00,300.00,304.00,"40,050",,
KSBBL,349.00,-4.38,364.00,347.10,357.70,"125,414",,
LBBL,364.00,-4.21,381.00,362.00,380.00,"54,989",,
LBL,201.90,0,210.00,201.30,205.90,"66,339",,
LEC,284.00,-7.19,306.00,284.00,300.00,"49,821",,
LEMF,9.50,0.74,9.60,9.27,9.60,"80,381",,
LICN,"1,520.00",-0.65,"1,564.00","1,520.00","1,560.50","5,922",,
LLBS,"1,211.00",0.92,"1,245.00","1,195.00","1,195.00","3,095",,
LUK,8.84,-3.91,9.02,8.82,9.02,"18,500",,
MBJC,322.00,-5.29,338.60,319.00,333.20,"76,165",,
MBL,248.00,0.4,258.80,247.40,251.00,"69,434",,
MDB,405.90,-0.51,415.00,400.00,400.10,"18,785",,
MEN,815.00,-1.81,841.00,798.00,830.00,"7,925",,
MERO,764.00,0.26,800.00,760.00,763.00,"4,996",,
MFIL,469.00,1.52,482.00,465.00,471.00,"55,466",,
MFLD85,838.00,-1.89,838.00,838.00,838.00,50,,
MHL,394.80,2.02,395.30,370.70,387.00,"21,325",,
MHNL,325.00,-4.36,342.10,324.00,340.00,"80,754",,
MKJC,538.50,8.05,538.50,466.00,488.50,"25,843",,
MKLB,915.00,0.33,920.00,907.00,910.00,213,,
MLBBL,"1,148.60",-2.58,"1,172.00","1,148.60","1,172.00",656,,
MLBL,346.10,-3.59,365.00,346.10,352.00,"69,031",,
MLBS,"1,100.00",-0.9,"1,105.00","1,090.00","1,090.00",568,,
MLBSL,"4,139.00",0.58,"4,173.00","4,117.00","4,160.00","2,476",,
MMF1,8.65,1.17,8.65,8.22,8.38,"40,570",,
MMFDB,835.00,-0.83,855.10,827.00,835.00,"2,174",,
MNBBL,417.00,-0.71,426.90,416.00,426.90,"38,678",,
MNBBLP,237.00,0,237.00,237.00,237.00,"15,000",,
MPFL,341.10,-1.98,356.00,341.10,354.90,"14,812",,
MSLB,"1,244.00",-0.49,"1,244.00","1,207.80","1,232.00",550,,
